,country,description,points,price,winery,variety,title
170,Germany,"Fresh and fragrant of blossoms, tart yellow peach and apricot, this off-dry Riesling maintains a crystalline fruit purity that persists throughout Fritz Haag's wines. It's invigorating and irresistably quaffable. The long, melon-rind finish is lip smacking.",91,30.0,Fritz Haag,Riesling,Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel)
171,Germany,"Just a touch of honey-lemon sweetness is enough to make this zesty, citrus-focused Riesling lip smackingly delicious. Fresh, green herb and lime notes reverberate through a strong finish. Drinks well now but should meld nicely over the next five years.",91,22.0,Fritz Haag,Riesling,Fritz Haag 2014 Riesling (Mosel)
172,Chile,"Dry, spicy aromas of tobacco, cedar, vanilla and berry fruits come together nicely. This Maule Valley Cab is fresh and harmonious across the palate, with nothing too pushy. Complex, balsamic flavors of olives, herbs, dried berries, turned earth and cocoa finish dry, peppery and elegant. Drink through 2019.",91,20.0,G7,Cabernet Sauvignon,G7 2012 The 7th Generation Gran Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley)
173,US,"This wine is bursting with gorgeous cherry fruit, forward and luscious. The tannins are ripe and the acids in perfect proportion, keeping the fruit flavors buoyed upon a textural ride into a lingering finish.",91,38.0,Le Cadeau,Pinot Noir,Le Cadeau 2014 Pinot Noir (Willamette Valley)
174,New Zealand,"The Stoneleigh style traditionally favors ripeness over herbaceousness, and the 2008 holds true to form, offering up grapefruit and nectarine aromas and an appealing blend of citrus and stone-fruit flavors. It's plump and round, yet finishes fresh. Good as an apéritif or with light dishes.",88,19.0,Stoneleigh,Sauvignon Blanc,Stoneleigh 2008 Sauvignon Blanc (Marlborough)
175,Italy,"Crisp and fresh with enduring aromas of tomato leaf, citrus, pink grapefruit and white stone, this is textbook Sauvignon from the mountainous Alto Adige region of Italy. Pair it with appetizers or lightly spicy foods.",88,25.0,Tenuta Peter Sölva & Söhne,Sauvignon,Tenuta Peter Sölva & Söhne 2007 De Silva Sauvignon (Alto Adige)
176,Chile,"Haven't seen this unusual combination of grapes in quite some time, and you know what, it's much better now than when we last saw it in 2001. This vintage has a nice, almost magnetic nose, while the palate is firm and well structured, with cassis, black cherry, coffee and licorice flavors. It's a bit boring on the finish, but the mouthfeel and length are just fine. Fruity, rich and balanced. 325 cases made.",88,50.0,TerraMater,Red Blend,TerraMater 2006 Unusual Cabernet-Shiraz-Zinfandel Red (Maipo Valley)
177,Italy,"This Chianti Classico strikes a beautiful balance between elegance and intensity. It has both and its pretty aromas of wild berry, rose, ginger, anise and spice come forth in a continuous, steady manner. It feels bright and lively in the mouth and ends with a touch of piquant spice.",88,22.0,Isole e Olena,Sangiovese,Isole e Olena 2005  Chianti Classico
178,US,"Black as a moonless night, dense in structure, tannic, bone dry and super-peppery, this Syrah isn't offering much relief right now. In all likelihood it will emerge from its cocoon in a few years to offer a wealth of ripe blackberry, currant and carob fruit.",88,25.0,Kenwood,Syrah,Kenwood 2005 Jack London Vineyard Syrah (Sonoma Valley)
179,France,"The impact of 50-year old vines is seen in the concentrated fruit, ripe and full,  in this wine. The flavors are of fresh apricots, edged with green apples and pink grapefruit, a combination that shows both richness and great freshness. The finish is a reminder of the fine acidity in 2006.",88,27.0,La Chablisienne,Chardonnay,La Chablisienne 2006 Les Vénérables Vieilles Vignes  (Chablis)
180,US,"This is a strong, oaky Chardonnay. It's crisp in acidity and forward in pineapple jam, lemon custard and vanilla meringue flavors. If you like the ripe, California style, it's for you.",88,23.0,Manzoni,Chardonnay,Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands)
181,US,"Crisp, coastal acidity dominates this wine, making it mouth-wateringly tart. May be too much for some folks, but it's quite elegant, with good cherry, black raspberry and cola flavors enriched with a touch of smoky oak.",88,36.0,McIntyre Vineyards,Pinot Noir,McIntyre Vineyards 2006 Mission Ranch Pinot Noir (Arroyo Seco)
183,Argentina,"With attractive melon and other tropical aromas, this is a Torrontés that rises above the masses. It smells great and tastes like a pure blend of lychee fruit, tangerine and honeydew melon. The palate feel is smooth and round, and the finish is dry, clean and healthy. It's everything that Torrontés should be. Drink now.",88,12.0,Alamos,Torrontés,Alamos 2007 Torrontés (Salta)
184,US,"This is a typical Sonoma Coast Chard in the bright acidity that firms up the ripe, long hangtime flavors. Pineapples, pears, peaches, nectarines and subtle papaya notes are joined with buttercream and cinnamon spices. Drink now.",88,35.0,Anaba,Chardonnay,Anaba 2007 Chardonnay (Sonoma Coast)
185,Chile,"Composed and structured, with its fair share of richness manifested as raisin and molasses. Interestingly, the palate rings with acidity, resulting in a feel that's borderline sharp. But there's enough fruit and heft to balance things out, and the flavors of cherry, blackberry and cola are nice. A good example of elevated Carmenère (with 10% Cabernet Sauvignon) that doesn't cost an arm and a leg.",88,15.0,Apaltagua,Carmenère,Apaltagua 2007 Envero Gran Reserva Carmenère (Colchagua Valley)
186,US,"This is a very rich Pinot whose primary virtue is fruit. It just explodes with delicious cherry jam, red currant, licorice and mocha flavors. Dry and crisply acidic, it's a beautiful wine for early drinking.",88,40.0,Harrington,Pinot Noir,Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley)
187,Italy,"This is a luminous, mature red wine with thick concentration and huge—almost too much—emphasis on toasted oak. Aromas recall vanilla, spice and coffee, although you will find blueberry and cherry on the finish: It is a blend of Nero d'Avola, Cabernet Sauvignon and Merlot.",88,48.0,Abbazia Santa Anastasia,Red Blend,Abbazia Santa Anastasia 2003 Montenero Red (Sicilia)
188,Chile,"Bisquertt usually does well with its value-priced Merlots, and seeing that 2007 was an excellent vintage in Chile, this wine excels in the value price range. The nose is dark and saturated, but pure and inviting. And the palate is ripe and smooth, with spice, plum, blackberry and herb notes, particularly anise. Finishes clean, smooth and peppery. Drink now.",88,11.0,Viña Bisquertt,Merlot,Viña Bisquertt 2007 Casa La Joya Reserve Merlot (Colchagua Valley)
189,Chile,"Clean and honest up front, with moderate richness and modest telltale Casablanca pineapple aromas. The plate is creamier than many wines in this price range, with flavors of apple cider, citrus and some pith. Overall this is a good value wine with enough citrus and acidity to qualify it as fresh.",87,11.0,Emiliana,Chardonnay,Emiliana 2008 Natura Chardonnay (Casablanca Valley)
190,Italy,"Chocolate, espresso, plum and black currant are backed by smoky nuances and natural rubber. This muscular wine offers polished tannins and firm structure to the end. A bit of wine from the 2005 and 2006 vintages is blended in.",87,26.0,Fattoria Alois,Red Blend,Fattoria Alois 2007 Campole Red (Campania)
191,Australia,"From the little-known region of Padthaway, this Cabernet starts off with some very promising, perfumed aromas of mint and cassis, but then shows touches of chocolate and raisined fruit on the palate. It's soft and mouthfilling—an easy-drinking Cab to consume on the young side.",87,30.0,Henry's Drive Vignerons,Cabernet Sauvignon,Henry's Drive Vignerons 2006 The Trial of John Montford Cabernet Sauvignon (Padthaway)
192,Italy,"Here's an interesting blend of Corvina, Cabernet Sauvignon and Rondinella that reflects the aromas and power of each grape variety. The wine offers mature notes of cherry, clove, blackberry and cola: It tastes slightly sweet and very succulent.",87,20.0,Aldegheri,Red Blend,Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese)
193,France,"A citrus-dominated wine, lime and lemon giving a crisp intensity. There is a somewhat bitter toast element, but the acidity, the fresh fruits and the soft structure act as a counter-balance. Give it six months to a year. Screwcap.",87,35.0,Bertrand Ambroise,Chardonnay,Bertrand Ambroise 2006  St.-Romain
195,Italy,"This is a mature, jammy wine with thick layers of plum, prune and raisin. The wine's appearance is dark and concentrated and that same sensation of heaviness carries over the palate in the form of black currant and spice. The tannins are firm and tart.",87,35.0,Carpineto,Prugnolo Gentile,Carpineto 2003 Riserva  (Vino Nobile di Montepulciano)
196,Italy,"Pancole is a pretty expression of Tuscany's popular Vernaccia di San Gimignano with a luminous, bright appearance and pristine aromas of stone and passion fruits. The wine is lean and tonic with spicy notes on the finish.",87,18.0,Cesani,Vernaccia,Cesani 2007 Pancole  (Vernaccia di San Gimignano)
197,South Africa,"This is a concentrated, fairly full and lush Chenin, rich in toasty oak and vanilla cream as well as notes of baked apple pie and sweet orange. The medium-weight palate is mouthfilling and satisfying, with ample acidity to lift the decadent flavors. Notes of clove, anise and toasted nuts mingle on the lingering finish. Drink now–2019.",90,23.0,Spier,Chenin Blanc,Spier 2014 21 Gables Chenin Blanc (Western Cape)
198,US,"This is a soft, well-crafted wine from the eastern side of St. Helena that's both classic in its dried herb, tobacco and tea aromas and fruity with red currant and cranberry notes.",90,60.0,Sequum,Cabernet Sauvignon,Sequum 2013 Four Soil Mélange Cabernet Sauvignon (Napa Valley)
199,US,"This is a beatifully balanced, not-too-full-bodied wine from vines grown at 2,400 feet in the Sierra range. It has classic black cherry, black olive and anise aromas, harmonious fruit flavors accented with light oak spiciness and a firm, fine-grained tannic structure.",90,28.0,Sierra Starr,Cabernet Franc,Sierra Starr 2014 Rising Starr Estate Bottled Cabernet Franc (Nevada County)
201,Italy,"Made with 60% Pinot Bianco, 30% Chardonnay and 10% Sauvignon Blanc, this boasts appealing aromas of acacia flower, nectarine and Alpine herb. The elegant palate delivers juicy Gala apple, yellow peach and a touch of ginger alongside fresh acidity.",90,62.0,Terlan,White Blend,Terlan 2014 Nova Domus Riserva White (Alto Adige)
202,Israel,"This wine features pleasing aromas of raspberry, jumper berry and black pepper. There is a nice mélange of fruit and spice flavors, notably black cherry, dark plums, anise, and cardamom. Smooth tannins ply the palate right into a bright finish that bears a touch of salinity.",90,50.0,Yatir,Syrah,Yatir 2011 Syrah (Judean Hills)
203,Portugal,"A year in wood and 30 months in bottle before release have allowed this attractive wine to fully develop its solid yet smooth texture. It has concentration, layers of bright black currant fruit and vibrant acidity. Ready to drink.",90,28.0,Adega Cooperativa de Borba,Portuguese Red,Adega Cooperativa de Borba 2012 Montes Claros Garrafeira Red (Alentejo)
204,US,"This bottling belongs to a series of wines from the legendary Jerry Lohr emphasizing Rhône varieties. It shows candied blackberry, violets and potpourri on the fruity, flowery and inviting nose. The palate leads with savory black pepper, which accents its core of black plum, blackberry and purple flower flavors.",90,30.0,J. Lohr,G-S-M,J. Lohr 2014 Gesture G-S-M (Paso Robles)
205,US,"Rich honeysuckle, marzipan and oak aromas meet bright lemongrass on the nose of this bottling, showing both the fresh and oxidative sides of the grape. Smoked chicken and brioche notes are prominent on the palate, leading to a tangy, botanical, juniper-laced finish.",90,25.0,J. Lohr,Chardonnay,J. Lohr 2015 October Night Chardonnay (Arroyo Seco)
206,US,"This is an extraordiary deal for a solidly built, high-level wine. It offers succulent cherry, raspberry and vanilla flavors, wrapped in approachable, mellowed tannin and oak.",90,25.0,Courtney Benham,Cabernet Sauvignon,Courtney Benham 2014 Cabernet Sauvignon (Napa Valley)
207,US,"Juicy and austere in understated waves of cranberry and cherry fruit, this wine delivers subtle power and intensity in a leathery-textured package. True to its old vine heritage, it shows a dry dustiness of peppery spice.",90,32.0,Del Carlo Winery,Zinfandel,Del Carlo Winery 2014 Home Ranch Teldeschi Vineyards Century Old Vine Zinfandel (Dry Creek Valley)
208,South Africa,"A stony, flinty character leads the nose of this blend of 54% Sauvignon Blanc and 46% Sémillon, followed by scents of ripe peach, nectarine, freshly dried grass and herbs. The medium-weight palate offers more clean fruit flavors that result in a smooth, slightly creamy mouthfeel. Ample acidity lends freshness to the finish, alongside a lingering yellow flower character. Drink now–2019.",90,40.0,Delaire Graff,White Blend,Delaire Graff 2013 Reserve White (Coastal Region)
209,France,"Intriguing, thought provoking and complex, this wine starts off with perfumed aromas of thyme, bay leaf and lavender. It's supple in the mouth and silky in feel, imbued with black cherry and blueberry fruit, then shows a hint of adhesive bandage on the finish. Drink now.",90,16.0,Domaine St Pierre,Rhône-style Red Blend,Domaine St Pierre 2014 Red (Côtes du Rhône)
210,South Africa,"This leads with clean yet soft scents of ripe apple, Anjoy pear and orange blossom. Those notes carry through to the medium-weight palate, well integrated with soft toasted-oak tones. It's harmonious and balanced, with ample acidity lending good lift through the close. Drink now.",90,20.0,Eikendal,Chardonnay,Eikendal 2014 Chardonnay (Western Cape)
211,France,"This is taut and sinewy in profile, but shows off a fine range of aromas, from thyme and lavender to cocoa, red plum and ripe cherry. The raspberry and herb flavors finish in a storm of firm tannins. Drink 2020–2025.",90,32.0,Famille Perrin,Rhône-style Red Blend,Famille Perrin 2013 Les Christins Red (Vacqueyras)
212,Spain,"Mellow white-fruit aromas are nonspecific and oaky, but not overly so. This barrel-fermented Verdejo feels plump and chunky, with balancing acidity. Salty melon, apricot and apple flavors end steady and long. For barrel-fermented Verdejo, this is at the top of the pile.",90,40.0,Matarromera,Verdejo,Matarromera 2015 Fermentado en Barrica Verdejo (Rueda)
213,US,"This blend of 60% Petite Sirah, 21% Syrah, 7% Grenache, 6% Petit Verdot, 5% Tannat and 1% Viognier is tightly wound but likely to improve with time. Opened now, it offers elderberry, black currant, pencil lead and loam on the nose, with lava rock, crème de cassis and kirsch flavors slowing emerging on the palate.",90,48.0,MCV,Red Blend,MCV 2014 1105 Red (Paso Robles)
214,US,"This is a big, brawny expression of Grenache, Mourvèdre, Syrah and Counoise, the Grenache playing the dominant role in the blend. It coats the palate in dense raspberry and blueberry fruit, seasoned with pepper and nutmeg. A leathery touch to the texture and lifted acidity keeps it from feeling heavy or overdone.",90,36.0,Mounts,Rhône-style Red Blend,Mounts 2014 Verah Red (Dry Creek Valley)
215,Israel,"Aromas of blackberry, fennel bulb and smoke set the scene for flavors of cherry, raspberry, chocolate and tobacco leaf. Mellow but ever-apparent tannins ply the palate alongside a strong bolt of acidity that tapers off into a pomegranate-imbued finish.",90,80.0,Or Haganuz,Bordeaux-style Red Blend,Or Haganuz 2014 French Blend Red (Galilee)
216,Italy,"Black-skinned berry, pipe tobacco and Mediterranean herb aromas waft out of the glass and carry over to the firm linear palate along with morello cherry, licorice and a hint of clove. Taut fine-grained tannins and fresh acidity provide the backbone while orange peel marks the finish. Drink 2019–2025.",90,57.0,Podere Scopetone,Sangiovese,Podere Scopetone 2012  Brunello di Montalcino
217,Portugal,"Wood aging gives this ripe blend of Baga and Touriga Nacional its richness and density. It's full of black fruit, toast and a touch of pepper. With ripe tannins and crisp acidity, it can easily age another year. Drink from 2018.",90,20.0,Quinta de Foz de Arouce,Portuguese Red,Quinta de Foz de Arouce 2013 Red (Beira Atlantico)
218,US,"Pithy, with grapefruit and lemon peel flavors, this wine is deceptively crisp and light on the nose, offering a wealth of body and lushness on the palate, accented with nutmeg and peach. It includes 4% Sémillon, partly from the winery's beloved To Kalon vineyard.",90,20.0,Robert Mondavi,Fumé Blanc,Robert Mondavi 2015 Fumé Blanc (Napa Valley)
219,Hungary,"From a vineyard in Northern Tokaj this dry Furmint has aromas of citrus pith and freshly cut pineapple. In the mouth, there are delightful flavors of grapefruit juice and white peach before the pleasantly acidic finish.",90,36.0,Samuel Tinon,Furmint,Samuel Tinon 2015 Megyer Dry Furmint (Tokaj)
220,US,"Briny green olive notes underlie a tropically ripe, full-bodied expression of the variety. The wine's apple, pineapple and mango fruit is wrapped in toasted oak and moderate acidity.",90,40.0,Sixteen by Twenty,Chardonnay,Sixteen by Twenty 2014 Chardonnay (Sonoma Coast)
221,Italy,"This opens with enticing aromas of chamomile flower, white peach and a whiff of Alpine herb. The elegant palate offers McIntosh apple, candied lemon and a vein of energizing mineral. Fresh acidity lends balance.",90,40.0,St. Pauls,Pinot Bianco,St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige)
224,Argentina,"Blackberry and road-tar aromas are dark and stout. This is moderately tannic and a bit rough and jagged on the palate. Flavors of stewed black plum and prune are ripe almost to an extreme, and that's how it finishes as well.",90,22.0,Mendel,Malbec,Mendel 2014 Lunta Malbec (Luján de Cuyo)
225,South Africa,"There's a pleasant, toasty seam throughout the nose and mouth of this well-balanced wine, expressed in notes of sweet spice and honeycomb that frame the yellow melon and apple fruit core. It's plush and mouthfilling, but not flabby or overdone, thanks to balancing acidity and an assertive spicy tone that dominates the finish. Drink now.",90,25.0,Oldenburg,Chardonnay,Oldenburg 2013 Chardonnay (Stellenbosch)
226,South Africa,"This is a round and rich wine, with notes of wood-grilled apple, guava and toasted challah. Smooth and lush in feel, ripe peach and tropical tones drive the palate, while hints of honeysuckle and baking spice unfold on the finish. Ample acidity keeps the wine's weight in check. Drink now.",90,20.0,Oldenburg,Chenin Blanc,Oldenburg 2014 Chenin Blanc (Stellenbosch)
227,US,"The deep ruby color belies this wines cool-climate origins. The nose shows more black fruit aromas than is typical for Pinot Noir. The palate is all Pinot, though, with cherry pie filling flavors made more complex by vanilla from toasty new oak. It finishes with some nice mineral and earth notes. Silky tannins allow for immediate consumption but the wine will gain in complexity after a year or two in the cellar.",85,15.0,Wagner,Pinot Noir,Wagner 2006 Grace House Pinot Noir (Finger Lakes)
228,US,"A thoroughly honest effort, opening with lovely quince, apple and lemon fruit. The palate has a crisp lime edge and finishes with a kick of refreshing acidity. Drink now.",85,14.0,Treleaven,Riesling,Treleaven 2006 Semi-Dry Riesling (Cayuga Lake)
229,US,"Not clear what the varietal blend is, but it's like a nice, easy southern Rhône wine. Soft and fruity, it's rich in jammy blackberry, cherry, Mandarin orange, chocolate and anise spice flavors.",85,18.0,Benessere,Red Blend,Benessere 2005 Costa Del Sol Red (Napa Valley)
230,US,"Orange blossom and flowers lead on this Gewürtz, and on the palate, a citric, lemon edge outweighs the sweet and floral components that would give this wine a prettier edge. Nonetheless, the wine has an attractive, crisp and clean character and will pair well with grilled seafood and poultry.",85,16.0,Bloomer Creek,Gewürztraminer,Bloomer Creek 2006 Gewürztraminer (Finger Lakes)
231,Argentina,"Meaty and rubbery, but that's young Bonarda. This is a sound wine with dark berry flavors, raisin and pulsing acidity. Still, there's modest roundness to the palate and length to the finish. Overall, it's tasty, full and borderline raisiny. Drink now.",85,10.0,Andean Sky,Bonarda,Andean Sky 2007 Bonarda (Mendoza)
232,Australia,Lifted cedar and pine notes interspersed with appealing woodsy scents give way to a surprisingly intense palate that shows some nice peppery notes but ultimately falls short on the finish. Nearly imperceptible tannins suggest early consumption.,85,12.0,Angove's,Shiraz,Angove's 2006 Red Belly Black Shiraz (South Australia)
233,US,"There is an odd, piercing edge to the aromas, a mix of acetic acid and pungent herb, with a hint of diesel. Somehow it's not off-putting, just atypical. The light, tart fruit is a mix of rhubarb and cranberry, very earthy and tasting of dirt and bark in the finish. This could be quite pleasant with a hearty, rustic dish such as beef Bourgogne.",85,28.0,Silvan Ridge,Pinot Noir,Silvan Ridge 2006 Reserve Pinot Noir (Willamette Valley)
234,Italy,"Neutral and unassuming on first impact, this luminous rosé eventually delivers notes of mineral, ash, stone fruit and small berry. The wine offers more in the mouth, however, where it exhibits fresh flavors of raspberry and blueberry.",85,10.0,Talamonti,Montepulciano,Talamonti 2007 Cerasuolo Rosè  (Montepulciano d'Abruzzo)
235,US,"Overly sweet and simple, and something of a disappointment given the winery's past performance, this Syrah tastes like melted cherry jam, stirred with chocolate pie filling and sprinkled with fennel and pepper.",85,49.0,Testarossa,Syrah,Testarossa 2006 Thompson Vineyard Syrah (Santa Barbara County)
236,US,"Shows rich, firm mountain tannins and well-ripened, concentrated flavors of blackberries, cherries, currants and cocoa, and is thoroughly dry. But the wine loses a few points for hot caramelization, which may be partly over-charred oak and partly shriveled, overripe berries, if not both.",85,85.0,Meeker,Cabernet Sauvignon,Meeker 2004 Kiss Ridge Vineyard Cabernet Sauvignon (Diamond Mountain District)
237,Italy,"The wine boasts a beautiful appearance thanks to its saturated golden color and faint amber highlights. It has a very fragrant nose and offers honey, peach and soapy floral notes. In the mouth, the wine delivers sweet fruit and a soft, silky texture.",85,18.0,Consorzio Vini Tipici di San Marino,Moscato,Consorzio Vini Tipici di San Marino NV Moscato (San Marino)
238,Australia,"The sort of wine one imagines early Australian settlers gulped down—big and burly in the mouth and a bit warm, rough and dusty on the finish. Hints of mint-accented cherry fruit and earthy notes.",85,29.0,D'Arenberg,Grenache,D'Arenberg 2006 The Derelict Vineyard Grenache (McLaren Vale)
239,US,"A little rough and rugged, with jangly tannins and blackberry fruit so ripe it veers into raisins. Very dry, it's probably at its best now.",85,36.0,Dogwood,Cabernet Sauvignon,Dogwood 2005 Cabernet Sauvignon (Mendocino)
240,France,"Dominated by Ugni Blanc, the grape also used in the local Armagnac brandy, this is a tight, crisp wine, green but not unpleasantly so. Its acidity comes from fresh apple flavors, touched with some good juiciness and a fine refreshing finish. Screwcap.",85,9.0,Domaine du Tariquet,Ugni Blanc-Colombard,Domaine du Tariquet 2007 Ugni Blanc-Colombard (Vin de Pays des Côtes de Gascogne)
241,US,"Sweetly rich in cherry, red currant and chocolate flavors, with a peppery edge, this Sangiovese is soft in structure. The bright acidity can cut through tomato sauce with cheese.",85,34.0,Falcor,Sangiovese,Falcor 2005 Sangiovese (Napa Valley)
242,US,"Made in the modern California style, with very ripe, rather sweet pineapple jam, green apple butter and smoky oak flavors that are wrapped into a creamy texture.",85,15.0,Hayman & Hill,Chardonnay,Hayman & Hill 2007 Reserve Selection Chardonnay (Russian River Valley)
243,US,"This sparkling wine starts with a toasty but soft nose, leading into clean but fruity flavors and a refreshing finish. Though an earlier release might have allowed more primary fruit to show through, the wine offers easygoing but elegant enjoyment.",85,30.0,Hermann J. Wiemer,Chardonnay,Hermann J. Wiemer 2002 Blanc de Blanc Chardonnay (Finger Lakes)
244,Spain,"Simple but well-maded wine with aromas of chewing gum, cherry and blackberry. It's a plump, sort of grabby red with sweet raspberry and chocolate flavors followed by a creamy, soft finish. Not much complexity but good fruit and depth. Not the least bit hard to drink. Good mass wine.",85,13.0,J. & F. Lurton,Red Blend,J. & F. Lurton 2007 Herederos de François Lurton Villafrance de Duero Red (Vino de la Tierra de Castilla y León)
245,Argentina,"Not exactly a world-class white wine but at least it smells and tastes like Chardonnay. The nose offers some butter and lemon curd, while the palate is jumpy and tastes like a mix of pear, apple and spice. A fresh, young wine that should be drunk soon.",85,12.0,Finca Las Moras,Chardonnay,Finca Las Moras 2007 Reserve Chardonnay (San Juan)
246,Australia,"Juicy and well balanced, this is an admirable effort at the price. Boxwood, grapefruit, lemon and quince notes make for a sophisticated first impression. The palate is straightforward citrus while gooseberry notes pop up on the dry finish. Drink now.",85,15.0,Long Flat,Sauvignon Blanc,Long Flat 2006 Destinations Sauvignon Blanc (Adelaide Hills)
247,US,"Tasty, with pie-filling cherries, blackberries and currants accented with smoky oak, but a little on the soft side. Fully developed, so drink now.",85,25.0,Work,Merlot,Work 2004 Reserve Merlot (Sonoma Mountain)
248,US,"This seems as if it was assembled from lesser barrels. It's pleasant, very light, simple and tart; the dominant flavor is cranberry juice.",85,45.0,Amity,Pinot Noir,Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley)
249,US,"Cherry pie-filling and boysenberry notes open this impressive blend of Merlot and Petit Verdot. Abundant but velvety tannins give a lift to blueberry and   chocolate tones in the mouth, while the slightly grippy finish shows appealing mixed berry flavors.",85,18.0,Autumn Hill,Bordeaux-style Red Blend,Autumn Hill 2007 Petit Verdot-Merlot Red (Monticello)
250,US,"Ripe, soft and a little sweet, with jellied flavors of blackberries, cherries, chocolate and anise. Drink now.",85,49.0,Blue Rock,Cabernet Sauvignon,Blue Rock 2005 Estate Cabernet Sauvignon (Alexander Valley)
251,US,"Spicy and tannic, this inexpensive Pinot from Cherry Hill opens with earthy fruit and leaf flavors—tomato and herb dominate, with just a suggestion of berry. There isn't much in the way of ripeness here, to either fruit or tannins.",85,22.0,Cherry Hill,Pinot Noir,Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley)
252,US,"Shows the briary, brambly character of Foothills Zin, with an array of wild berry, tobacco, mocha and Asian spice flavors wrapped into finely ground tannins. But the wine is too sweet and candied in the finish. Drink now.",85,35.0,Cloud 9,Zinfandel,Cloud 9 2006 Seity Zinfandel (Amador County)
253,Argentina,"Huge in color and extract, but also a little childish. The nose has gumball, berry jam and a touch of volatility, but after things settle it rests on bold black fruit. It's not overly rich or sweet, and the feel is sort of sinewy. Seems more about size and color than refinement and polish.",85,15.0,Cueva de las Manos,Malbec,Cueva de las Manos 2007 Reserve Malbec (Luján de Cuyo)
254,US,"The winery has a good track record with this bottling, which shows how well Petite Sirah does in the warmer St. Helena appellation of Napa Valley. This '08 is dryish to moderately sweet in jammy blackberries and blueberries, with a smoked meat, bacon edge. But it's also firmly tannic, which provides a framework for the sweetness.",89,45.0,David Fulton,Petite Sirah,David Fulton 2008 Petite Sirah (St. Helena)
255,US,"Esterlina's Pinot is very perfumey, light in body and soul at first, as it gathers steam with a tasty backbone of lush red fruit, spice and plenty of staying power over a meal.",89,55.0,Esterlina,Pinot Noir,Esterlina 2009 Reserva Pinot Noir (Cole Ranch)
256,South Africa,"A good value, this is an easy-pleasing Syrah with vibrant notes of red plum, cherry and blueberry. Fine, dusty tannins reminiscent of cocoa powder and dried crushed berries stay after swallow alongside a hint of sweet smoke flavor.",89,20.0,Goats do Roam Wine Co.,Syrah-Viognier,Goats do Roam Wine Co. 2008 Goat-Roti Syrah-Viognier (Coastal Region)
257,South Africa,"This approachable Cabernet-based blend, which also has 18% Pinotage, 11% Cab Franc and 2% Shiraz, is a spicy and balanced red with notes of menthol, purple florals, black cherry and berry. With a mouthfeel like crushed velvet, a black pepper finish and an attractive price tag, it's a shame only 100 cases were produced.",89,18.0,Graham Beck,Red Blend,Graham Beck 2007 The William Red (Coastal Region)
258,South Africa,"This wine strikes a superb balance between herbaceous, green notes and ripe black fruit, all graced with a kiss of sweet vanilla. Rich blackberry and cassis flavors flood the palate, but then transition to sweet smoke and oak flavors on the finish.",89,35.0,Hartenberg,Cabernet Sauvignon,Hartenberg 2007 Cabernet Sauvignon (Stellenbosch)
259,France,"Tannic yet balanced wine with a great swathe of perfumed fruit as well as dense black flavors. There is a herbal character as well as dark plum and sweet fruit flavors. Age for 2–3 years, the wine will always be firm.",89,13.0,Vignobles 46N118,Malbec,Vignobles 46N118 2007 Noir 46 Malbec (Cahors)
260,US,"Young, tart and wrapped up tight as a drum, this offers sharp flavors of cranberry and a bit of Campari. It has the heft and polish to open up further with some additional bottle age, but it isn't budging at the moment.",89,40.0,Willamette Valley Vineyards,Pinot Noir,Willamette Valley Vineyards 2009 Estate Pinot Noir (Willamette Valley)
261,Argentina,"A blend of 50% Malbec with Cabernet, Syrah and Merlot that's lightly minty and full of tobacco, pepper and spicy aromas. Feels a bit clampy and tannic, with oaky, herbal flavors of plum and sweet berry. Shows a hint of green and drying tannins on the finish.",89,37.0,Algodon,Red Blend,Algodon 2008 Estate Blend Gran Reserva Red
262,US,"Beaver Creek makes a variation of Fairytale every vintage and this one, sourced from Napa Valley, is 41% Merlot, 36% Zinfandel and 23% Syrah, a mix that seems to work very nicely here. The wine's Zin almost tastes as if it has mountain tannins; the wine is overall herbal and earthy, ripe and sturdy with balanced fruit.",89,39.0,Beaver Creek,Red Blend,Beaver Creek 2008 Fairytale Red (Napa Valley)
263,US,"A very good Pinot Noir, rich in cherry, licorice, cola and spice flavors that are wrapped into firm tannins. It's on the forward side, trading complexity and nuance in favor of immediate gratification. Drink now–2014.",89,60.0,Byron,Pinot Noir,Byron 2009 Monument Pinot Noir (Santa Maria Valley)
264,South Africa,"A good amount of earthy spice, tea leaves and forrest floor lead the way on the nose, but the black cherry and berry fruit aromas follow shortly after with an additional accent of sweet cured meat. Medium weight and lush, the creamy mouth transitions into a finish loaded with sweet spice and bittersweet cocoa.",89,19.0,Jardin,Syrah,Jardin 2007 Syrah (Stellenbosch)
265,South Africa,"Fairly intense and flavorful, this Chard expresses assertive aromas and flavors of wood-grilled peaches, buttercream frosting, lemon custard and toasted brioche. Medium weight in the mouth with good balance and a touch of baking spice on the close.",89,40.0,Jardin,Chardonnay,Jardin 2009 Nine Yards Chardonnay (Stellenbosch)
